วันที่,รายการ,หมวดหมู่,จำนวนเงิน,ประเภท
2026-01-04,รายได้จากการขายผ่าน Shopee,,142000,income
2026-01-04,รายได้จากการขายผ่าน Lazada,,98500,income
2026-01-04,รายได้จากการขายผ่านเว็บไซต์ตนเอง,,35000,income
2026-01-06,เงินเดือนทีมแอดมินและแพ็คของ,บุคลากร,-52000,expense
2026-01-08,ค่าสินค้าและวัตถุดิบนำเข้า,ต้นทุนสินค้า,-96000,expense
2026-01-10,ค่าเช่าโกดังเก็บสินค้า,สถานที่,-18000,expense
2026-01-12,ค่าขนส่งและบรรจุภัณฑ์,ค่าเดินทาง,-21000,expense
2026-01-15,ค่าโฆษณา Facebook/TikTok Ads,การตลาด,-32000,expense
2026-01-18,ค่าธรรมเนียมแพลตฟอร์ม Shopee/Lazada,การเงิน,-14500,expense
2026-01-22,ค่าอินเทอร์เน็ตและระบบคลังสินค้า,สาธารณูปโภค,-3200,expense
2026-02-04,รายได้จากการขายผ่าน Shopee,,156000,income
2026-02-04,รายได้จากการขายผ่าน Lazada,,101000,income
2026-02-04,รายได้จากการขายผ่านเว็บไซต์ตนเอง,,41000,income
2026-02-06,เงินเดือนทีมแอดมินและแพ็คของ,บุคลากร,-52000,expense
2026-02-08,ค่าสินค้าและวัตถุดิบนำเข้า,ต้นทุนสินค้า,-101500,expense
2026-02-10,ค่าเช่าโกดังเก็บสินค้า,สถานที่,-18000,expense
2026-02-12,ค่าขนส่งและบรรจุภัณฑ์,ค่าเดินทาง,-23400,expense
2026-02-16,ค่าโฆษณาแคมเปญตรุษจีน (พิเศษ),การตลาด,-89000,expense
2026-02-19,ค่าธรรมเนียมแพลตฟอร์ม Shopee/Lazada,การเงิน,-15800,expense
2026-02-22,ค่าอินเทอร์เน็ตและระบบคลังสินค้า,สาธารณูปโภค,-3200,expense
