วันที่,รายการ,หมวดหมู่,จำนวนเงิน,ประเภท
2026-01-03,รายได้จากการขายอาหารหน้าร้าน,,185000,income
2026-01-03,รายได้จากเดลิเวอรี่ (Grab/LineMan),,62000,income
2026-01-05,เงินเดือนพนักงานครัวและเสิร์ฟ,บุคลากร,-78000,expense
2026-01-07,ค่าวัตถุดิบอาหารสด,ต้นทุนสินค้า,-54000,expense
2026-01-10,ค่าเช่าพื้นที่ร้าน,สถานที่,-35000,expense
2026-01-12,ค่าไฟฟ้าและน้ำประปา,สาธารณูปโภค,-12500,expense
2026-01-14,ค่าแก๊สหุงต้ม,สาธารณูปโภค,-4200,expense
2026-01-16,ค่าคอมมิชชั่นแอปเดลิเวอรี่,การตลาด,-9300,expense
2026-01-18,ค่าซ่อมเครื่องทำน้ำแข็ง,ซ่อมบำรุง,-3800,expense
2026-01-20,ค่าน้ำมันรถส่งของ,ค่าเดินทาง,-2600,expense
2026-02-03,รายได้จากการขายอาหารหน้าร้าน,,191000,income
2026-02-03,รายได้จากเดลิเวอรี่ (Grab/LineMan),,68500,income
2026-02-05,เงินเดือนพนักงานครัวและเสิร์ฟ,บุคลากร,-78000,expense
2026-02-07,ค่าวัตถุดิบอาหารสด,ต้นทุนสินค้า,-58200,expense
2026-02-10,ค่าเช่าพื้นที่ร้าน,สถานที่,-35000,expense
2026-02-12,ค่าไฟฟ้าและน้ำประปา,สาธารณูปโภค,-13100,expense
2026-02-15,ค่าซื้อเตาอบใหม่ (อุปกรณ์ฉุกเฉิน),อุปกรณ์,-42000,expense
2026-02-18,ค่าคอมมิชชั่นแอปเดลิเวอรี่,การตลาด,-10200,expense
2026-02-20,ค่าน้ำมันรถส่งของ,ค่าเดินทาง,-2750,expense
