วันที่,รายการ,หมวดหมู่,จำนวนเงิน,ประเภท
2026-01-05,รายได้ค่าที่ปรึกษาโครงการ A,,220000,income
2026-01-15,รายได้ค่าที่ปรึกษาโครงการ B,,165000,income
2026-01-20,รายได้จัดอบรม In-house Training,,45000,income
2026-01-05,เงินเดือนที่ปรึกษาและทีมงาน,บุคลากร,-145000,expense
2026-01-08,ค่าเช่าสำนักงานโคเวิร์กกิ้งสเปซ,สถานที่,-22000,expense
2026-01-10,ค่าเดินทางพบลูกค้าต่างจังหวัด,ค่าเดินทาง,-9800,expense
2026-01-14,ค่าซอฟต์แวร์และระบบสมาชิกรายเดือน,อุปกรณ์,-7600,expense
2026-01-18,ค่าโฆษณาผ่าน LinkedIn,การตลาด,-6500,expense
2026-01-25,ค่าเบี้ยประกันสุขภาพทีมงาน,ประกัน,-11200,expense
2026-02-05,รายได้ค่าที่ปรึกษาโครงการ A,,220000,income
2026-02-12,รายได้ค่าที่ปรึกษาโครงการ C,,310000,income
2026-02-20,รายได้จัดอบรม In-house Training,,45000,income
2026-02-05,เงินเดือนที่ปรึกษาและทีมงาน,บุคลากร,-145000,expense
2026-02-08,ค่าเช่าสำนักงานโคเวิร์กกิ้งสเปซ,สถานที่,-22000,expense
2026-02-11,ค่าเดินทางและที่พักดูงานต่างประเทศ,ค่าเดินทาง,-68000,expense
2026-02-14,ค่าซอฟต์แวร์และระบบสมาชิกรายเดือน,อุปกรณ์,-7600,expense
2026-02-19,ค่าโฆษณาผ่าน LinkedIn,การตลาด,-6500,expense
2026-02-27,ค่าที่ปรึกษากฎหมายสัญญาโครงการใหม่,การเงิน,-18500,expense
